Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;22;TOR;34;20;25.3;3.4;8.1;0.412;0.3;1.3;0.233;3.1;6.9;0.444;0.43;0.9;1.6;0.574;2.4;5.3;7.7;1.3;0.6;0.6;1.1;2.2;7.9
2;Steven Adams;C;28;MEM;44;43;25.7;2.6;4.9;0.521;0;0;0;2.6;4.9;0.521;0.521;1.6;2.8;0.566;4.3;4.9;9.3;3;1;0.6;1.6;1.7;6.7
3;Bam Adebayo;C;24;MIA;21;21;32.9;6.9;13.3;0.518;0;0;0;6.9;13.3;0.52;0.518;4.9;6.3;0.767;2.6;7.3;10;3.2;1.2;0.5;2.9;3.1;18.7
4;Santi Aldama;PF;21;MEM;25;0;10.5;1.4;3.8;0.372;0.2;1.5;0.105;1.2;2.2;0.554;0.394;0.4;0.8;0.579;0.9;1.6;2.5;0.5;0.1;0.2;0.3;0.9;3.4
5;LaMarcus Aldridge;C;36;BRK;32;10;23.1;5.9;10.3;0.574;0.4;1.1;0.333;5.6;9.2;0.603;0.592;1.6;1.8;0.862;1.5;4.1;5.7;0.9;0.4;1.1;0.8;1.7;13.8
6;Nickeil Alexander-Walker;SG;23;NOP;42;18;26.5;4.7;12.8;0.37;2;6.2;0.313;2.8;6.6;0.424;0.446;1.2;1.7;0.704;0.8;2.6;3.4;2.6;0.8;0.3;1.6;1.8;12.6
7;Grayson Allen;SG;26;MIL;41;40;28.1;4.1;9.6;0.423;2.6;6.7;0.391;1.5;3;0.496;0.558;1;1.2;0.857;0.5;2.9;3.4;1.3;0.8;0.4;0.6;1.5;11.8
8;Jarrett Allen;C;23;CLE;39;39;32.7;6.7;9.6;0.695;0;0.2;0.125;6.6;9.4;0.708;0.697;2.9;4.2;0.697;3.3;7.6;10.9;1.8;0.8;1.4;1.9;1.8;16.3
9;Jose Alvarado;PG;23;NOP;18;0;9.2;1.1;3.1;0.364;0.4;1.4;0.269;0.7;1.6;0.448;0.427;0.5;0.8;0.643;0.3;0.7;1;1.6;1;0.1;0.2;1;3.1
10;Justin Anderson;SF;28;IND;3;0;10;0.7;3.7;0.182;0.3;3;0.111;0.3;0.7;0.5;0.227;1;1;1;0.7;0.7;1.3;1;0.3;0.3;0.3;1.7;2.7
11;Kyle Anderson;PF;28;MEM;38;8;22.4;3.2;7.4;0.436;0.7;1.9;0.351;2.6;5.5;0.466;0.482;1;1.6;0.661;0.9;4.4;5.3;2.6;1.1;0.6;1.1;1.5;8.2
12;Giannis Antetokounmpo;PF;27;MIL;39;39;32.7;9.9;18.7;0.531;1.1;3.8;0.282;8.8;14.9;0.595;0.56;7.7;10.8;0.714;1.8;9.5;11.3;6;1;1.5;3.5;3.3;28.6
13;Thanasis Antetokounmpo;SF;29;MIL;28;5;11.9;1.4;2.9;0.463;0;0.4;0.091;1.3;2.5;0.521;0.47;0.5;0.9;0.625;1.1;1.7;2.8;0.7;0.5;0.3;0.6;1.9;3.3
14;Carmelo Anthony;PF;37;LAL;43;3;26.9;4.6;10.6;0.434;2.3;6;0.389;2.3;4.6;0.492;0.544;1.9;2.3;0.812;0.9;3.3;4.2;1;0.7;0.8;0.8;2.3;13.4
15;Cole Anthony;PG;21;ORL;33;33;33.2;6.2;15.8;0.396;2.4;7.2;0.328;3.9;8.5;0.454;0.471;3.4;4;0.835;0.6;5.5;6.1;5.8;0.8;0.3;2.8;2.7;18.2
16;OG Anunoby;SF;24;TOR;28;28;36.5;7;16;0.434;2.5;7.3;0.346;4.4;8.7;0.508;0.513;2.4;3.1;0.773;1.5;3.8;5.3;2.3;1.6;0.4;1.8;2.9;18.9
17;Trevor Ariza;SF;36;LAL;12;5;19.2;1.3;3.3;0.375;1;2.8;0.364;0.3;0.6;0.429;0.525;0.2;0.3;0.5;0.3;2.9;3.3;1.3;0.5;0.2;0.3;0.6;3.7
18;D.J. Augustin;PG;34;HOU;33;2;15;1.7;4;0.414;1.2;2.8;0.415;0.5;1.2;0.41;0.56;1;1.2;0.868;0.2;1;1.2;2.2;0.3;0;1.3;0.5;5.5
19;Deni Avdija;SF;21;WAS;46;6;22.5;2.6;6;0.437;0.8;2.8;0.302;1.8;3.2;0.554;0.507;1.1;1.5;0.731;0.7;4;4.7;1.6;0.8;0.7;0.9;2.2;7.2
20;Joel Ayayi;SG;21;WAS;7;0;2.9;0.1;0.9;0.167;0;0.1;0;0.1;0.7;0.2;0.167;0;0;0;0.1;0.3;0.4;0.6;0;0;0;0;0.3
21;Deandre Ayton;C;23;PHO;28;28;29.9;7.3;11.5;0.637;0.1;0.3;0.25;7.3;11.2;0.646;0.64;2;2.9;0.713;2.8;7.8;10.6;1.5;0.8;0.8;1.7;2.2;16.8
22;Udoka Azubuike;C;22;UTA;7;1;7.3;0.7;1;0.714;0;0;0;0.7;1;0.714;0.714;0.1;0.3;0.5;0.3;1.4;1.7;0;0.1;0.6;0.7;0.7;1.6
23;Marvin Bagley III;PF;22;SAC;26;13;21.9;3.8;8.2;0.46;0.5;2.1;0.236;3.3;6.1;0.538;0.491;1.3;1.8;0.745;2.3;5;7.3;0.6;0.3;0.3;0.7;1.7;9.4
24;LaMelo Ball;PG;20;CHO;39;39;31.8;6.9;16.5;0.418;2.7;7.3;0.371;4.2;9.3;0.454;0.499;2.5;2.8;0.883;1.7;5.6;7.3;7.7;1.6;0.4;3.1;3;19
25;Lonzo Ball;PG;24;CHI;35;35;34.6;4.6;10.9;0.423;3.1;7.4;0.423;1.5;3.5;0.423;0.567;0.6;0.8;0.75;1;4.4;5.4;5.1;1.8;0.9;2.3;2.4;13
26;Mo Bamba;C;23;ORL;36;34;27.5;4.1;9;0.46;1.4;3.9;0.355;2.8;5.1;0.541;0.537;0.8;1;0.778;2.3;6;8.3;1.5;0.8;2.1;1.4;2.7;10.4
27;Desmond Bane;SF;23;MEM;45;45;29.9;6.7;14.3;0.47;2.9;6.9;0.42;3.8;7.4;0.517;0.572;1.4;1.6;0.886;0.5;3.9;4.4;2.4;1.1;0.5;1.5;2.4;17.7
28;Dalano Banton;SF;22;TOR;33;1;11.7;1.5;3.6;0.407;0.2;0.8;0.269;1.2;2.8;0.446;0.436;0.5;0.7;0.75;0.6;1.5;2;1.7;0.4;0.2;1;1.2;3.7
29;Cat Barber;PG;27;ATL;3;0;4.3;0;1.3;0;0;0;0;0;1.3;0;0;0;1.3;0;0.3;0.7;1;1;0;0;0.3;0.3;0
30;Harrison Barnes;PF;29;SAC;42;42;33.5;5;11;0.451;2;4.9;0.415;2.9;6.1;0.48;0.544;4.3;5.1;0.833;1.1;4.9;6;2.4;0.7;0.2;1.7;1.3;16.3
31;Scottie Barnes;PF;20;TOR;36;36;35.5;5.9;12.5;0.477;0.8;2.4;0.31;5.2;10.1;0.517;0.507;2.1;3;0.72;2.8;5.1;7.9;3.4;1;0.8;1.9;2.9;14.8
32;RJ Barrett;SF;21;NYK;39;39;32.3;6.1;14.6;0.417;1.9;5.5;0.35;4.2;9.1;0.456;0.482;2.8;4.2;0.685;0.8;4.9;5.7;2.4;0.5;0.3;2;2.1;16.9
33;Will Barton;SG;31;DEN;39;39;32.8;5.8;13.4;0.431;2.4;6.4;0.369;3.4;7.1;0.487;0.519;1.3;1.7;0.788;0.6;4.2;4.8;4.2;0.8;0.5;1.8;1.4;15.3
34;Paris Bass;SF;26;PHO;2;0;3.5;1;3;0.333;0;1;0;1;2;0.5;0.333;1;1;1;1;1;2;0;0.5;0;1;1;3
35;Charles Bassey;PF;21;PHI;21;0;7.2;1.3;1.9;0.675;0;0.2;0;1.3;1.7;0.75;0.675;0.4;0.5;0.727;0.9;1.8;2.7;0.3;0.2;0.7;0.3;1.4;3
36;Keita Bates-Diop;SF;26;SAS;38;12;17.3;2.3;4.6;0.5;0.3;1.1;0.325;2;3.6;0.551;0.537;0.8;1.1;0.69;1.2;3.1;4.3;0.7;0.4;0.3;0.8;1;5.7
37;Nicolas Batum;PF;33;LAC;27;23;26.1;3.4;6.7;0.5;2;4.9;0.414;1.3;1.8;0.735;0.651;0.6;0.8;0.682;0.4;4.3;4.8;1.6;1;0.8;0.9;1.5;9.3
38;Kent Bazemore;SF;32;LAL;25;14;16.6;1.4;4.2;0.33;0.8;2.3;0.351;0.6;2;0.306;0.425;0.4;0.5;0.769;0.3;1.7;2;0.9;0.8;0.2;0.4;2.1;4
39;Darius Bazley;PF;21;OKC;40;28;26;3.4;8.5;0.394;0.9;3.5;0.266;2.4;5;0.483;0.449;1.4;2;0.679;1.1;5.1;6.2;1.2;0.7;1.2;1.4;1;9
40;Bradley Beal;SG;28;WAS;37;37;36;8.9;19.7;0.455;1.6;5.4;0.303;7.3;14.2;0.512;0.497;4.2;5;0.832;1;3.7;4.7;6.5;0.9;0.4;3.4;2.4;23.7
41;Malik Beasley;SG;25;MIN;45;9;26.9;4.4;11.9;0.375;3;8.7;0.349;1.4;3.2;0.444;0.502;0.5;0.6;0.724;0.4;2.8;3.2;1.6;0.6;0.1;0.7;1.2;12.4
42;Jordan Bell;C;27;CHI;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0
43;DeAndre' Bembry;SF;27;BRK;39;16;19.3;2.4;4.2;0.58;0.3;0.7;0.444;2.1;3.5;0.607;0.617;0.4;0.7;0.593;0.7;2.4;3.1;1.2;1;0.5;0.6;2.1;5.5
44;D?vis Bert?ns;PF;29;WAS;31;0;15.4;1.9;5.3;0.356;1.5;4.4;0.328;0.4;0.8;0.5;0.494;0.9;0.9;0.931;0.2;1.7;1.9;0.5;0.4;0.2;0.4;1.6;6.1
45;Patrick Beverley;PG;33;MIN;32;28;26.1;3.1;7.6;0.407;1.2;3.9;0.312;1.9;3.7;0.508;0.488;1.3;1.9;0.689;1.2;3.3;4.5;5;1.2;0.9;1.2;2.8;8.7
46;Saddiq Bey;SF;22;DET;45;45;33.5;5.2;13.7;0.382;2.4;7.2;0.332;2.8;6.5;0.437;0.469;2.3;2.7;0.837;1.3;4.6;5.9;2.5;0.9;0.2;1.4;1.8;15.2
47;Khem Birch;C;29;TOR;23;7;21;2.2;4.5;0.495;0;0.3;0;2.2;4.1;0.537;0.495;1.3;1.8;0.738;2.7;2.5;5.2;1.2;0.8;0.5;0.7;1.7;5.8
48;Goga Bitadze;C;22;IND;26;1;9;1.3;3.2;0.398;0.2;1.3;0.176;1;1.9;0.551;0.434;0.7;1.1;0.621;1.2;1.3;2.5;0.4;0.4;0.6;0.5;1.4;3.5
49;Bismack Biyombo;C;29;PHO;7;0;18.9;3.4;5;0.686;0;0;0;3.4;5;0.686;0.686;1.7;3;0.571;2.7;3.3;6;0.9;0.9;1.1;0.9;2;8.6
50;Nemanja Bjelica;C;33;GSW;46;0;15.2;2.3;5.3;0.446;0.9;2.5;0.348;1.5;2.8;0.535;0.529;0.8;1.2;0.685;0.8;3.2;4;1.7;0.6;0.3;1.1;1.6;6.4
51;Eric Bledsoe;PG;32;LAC;47;29;25.9;3.7;8.8;0.422;1;3;0.324;2.7;5.7;0.474;0.478;1.6;2.1;0.768;0.6;2.9;3.4;4.1;1.3;0.4;2.2;1.5;10
52;Keljin Blevins;SF;26;POR;6;0;6;0.7;1.8;0.364;0.7;1.5;0.444;0;0.3;0;0.545;0;0.3;0;0;0.5;0.5;0.3;0;0;0.5;0.2;2
53;Bogdan Bogdanovi?;SG;29;ATL;28;26;28.7;4.4;10.8;0.412;2.2;6.3;0.354;2.2;4.5;0.492;0.515;1;1.3;0.771;0.3;3.4;3.8;2.6;0.7;0.2;1;1.9;12
54;Bojan Bogdanovi?;PF;32;UTA;45;45;30.8;6.2;13.1;0.469;2.5;6.4;0.393;3.6;6.7;0.542;0.565;3.2;3.8;0.858;0.8;3.3;4.1;1.8;0.5;0;1.6;1.7;18.1
55;Bol Bol;PF;22;DEN;13;0;6.2;1.2;2.1;0.556;0.1;0.3;0.25;1.1;1.8;0.609;0.574;0.2;0.2;0.667;0.3;1.2;1.5;0.4;0.1;0.2;0.3;0.3;2.5
56;Leandro Bolmaro;SF;21;MIN;24;2;7.8;0.4;1.3;0.281;0.1;0.5;0.167;0.3;0.8;0.35;0.313;0.3;0.4;0.889;0.6;0.8;1.5;0.5;0.2;0;0.5;0.9;1.2
57;Isaac Bonga;SF;22;TOR;12;0;5.3;0.3;1.1;0.231;0.1;0.3;0.25;0.2;0.8;0.222;0.269;0.3;0.5;0.667;0.3;0.3;0.6;0.3;0.6;0.2;0.2;0.8;0.9
58;Devin Booker;SG;25;PHO;37;37;33;8.8;19.7;0.447;2.7;6.8;0.394;6.1;12.9;0.474;0.514;4.4;5;0.866;0.8;4.5;5.3;4.5;0.9;0.3;2.5;2.5;24.6
59;Brandon Boston Jr.;SG;20;LAC;30;0;16.2;2.4;6.8;0.351;0.7;2.4;0.288;1.7;4.4;0.386;0.402;1.2;1.4;0.86;0.3;2.2;2.5;0.9;0.6;0.2;0.7;0.8;6.7
60;Chris Boucher;PF;29;TOR;41;7;19.8;3.3;7.4;0.449;0.8;3;0.264;2.5;4.4;0.571;0.502;1.8;2.4;0.75;2.2;3.7;5.9;0.3;0.7;1;0.7;2;9.2
61;James Bouknight;SG;21;CHO;19;0;8.1;1.3;3.6;0.362;0.6;1.5;0.393;0.7;2.2;0.341;0.442;0.4;0.5;0.8;0.7;0.7;1.4;0.8;0.1;0;0.3;0.6;3.6
62;Avery Bradley;SG;31;LAL;38;33;23.7;2.6;6.1;0.424;1.4;3.5;0.388;1.2;2.6;0.474;0.537;0.3;0.3;0.917;0.6;1.9;2.5;0.9;0.9;0.2;0.5;1.8;6.8
63;Tony Bradley;C;24;CHI;31;7;12.5;1.7;2.9;0.571;0;0;0;1.7;2.9;0.571;0.571;0.4;0.5;0.765;1.4;2.9;4.3;0.6;0.2;0.7;0.6;1.4;3.8
64;Ignas Brazdeikis;SF;23;ORL;20;0;8.4;0.8;2.6;0.314;0.3;1.3;0.2;0.6;1.3;0.423;0.363;0.4;0.5;0.8;0.4;1;1.4;0.7;0.3;0.1;0.3;1;2.3
65;Mikal Bridges;SF;25;PHO;44;44;34;4.8;9.5;0.505;1.4;3.7;0.377;3.4;5.8;0.587;0.578;1.1;1.3;0.855;1;3;4;1.9;1.3;0.5;0.8;1.9;12
66;Miles Bridges;PF;23;CHO;44;44;36;7.6;15.8;0.482;2;6.1;0.325;5.6;9.7;0.581;0.545;2.9;3.8;0.77;1.3;6.2;7.5;3.6;1.1;0.9;1.8;2.6;20.1
67;Oshae Brissett;SF;23;IND;35;1;18.6;2.4;5.6;0.423;0.9;2.6;0.333;1.5;3;0.5;0.5;0.7;1.1;0.6;1.3;2.7;3.9;0.7;0.5;0.3;0.7;1.4;6.3
68;Malcolm Brogdon;PG;29;IND;28;28;33.4;6.6;14.7;0.448;1.6;5.4;0.307;4.9;9.3;0.529;0.504;3.8;4.4;0.861;0.9;4.3;5.1;5.9;0.9;0.4;2.2;2;18.5
69;Armoni Brooks;SG;23;HOU;36;8;17.7;2.4;6.6;0.363;1.8;5.6;0.315;0.6;1;0.622;0.496;0.4;0.5;0.842;0.3;1.8;2.1;1.4;0.6;0.2;0.5;1.6;7
70;Dillon Brooks;SF;26;MEM;21;20;28;6.9;16.2;0.426;1.6;4.8;0.327;5.3;11.4;0.469;0.475;3;3.4;0.889;0.8;2.5;3.3;2.7;1.3;0.2;1.8;3.3;18.4
71;Bruce Brown;SF;25;BRK;36;18;21.6;2.8;5.8;0.488;0.3;0.9;0.313;2.5;4.9;0.52;0.512;0.7;0.9;0.774;1.3;3.1;4.4;1.2;1.1;0.5;0.7;2.7;6.6
72;Charlie Brown Jr.;SG;24;PHI;8;1;14.4;0.6;3;0.208;0.1;1;0.125;0.5;2;0.25;0.229;0.8;0.9;0.857;1.3;1.9;3.1;0.4;0.6;0.4;0.5;1.4;2.1
73;Chaundee Brown Jr.;SG;23;ATL;3;2;27.7;3;8.3;0.36;2;5;0.4;1;3.3;0.3;0.48;1.7;2;0.833;0.3;4.3;4.7;1.3;0.7;0;0;2.3;9.7
74;Greg Brown III;SF;20;POR;18;0;4.7;0.7;1.7;0.419;0;0.3;0;0.7;1.4;0.52;0.419;0.3;0.7;0.462;0.4;0.8;1.2;0.3;0.1;0.2;0.3;0.6;1.8
75;Jaylen Brown;SF;25;BOS;33;33;34.8;8.7;19.2;0.456;2.8;7.7;0.358;6;11.5;0.521;0.528;3.8;4.8;0.788;0.8;5.6;6.4;3.1;1.1;0.4;3;2.7;24
76;Moses Brown;C;22;DAL;25;1;6.6;1.1;2;0.54;0;0;0;1.1;2;0.54;0.54;1.1;1.7;0.628;0.6;1.7;2.4;0;0.1;0.3;0.6;1.1;3.2
77;Sterling Brown;SG;26;DAL;36;3;14.3;1.4;3.6;0.398;0.8;2.2;0.342;0.7;1.4;0.49;0.504;0.3;0.3;0.909;0.6;2.9;3.5;0.8;0.3;0.1;0.6;1.2;3.9
78;Troy Brown Jr.;SF;22;CHI;33;2;15.7;1.7;4;0.417;0.6;1.8;0.311;1.1;2.2;0.507;0.489;0.5;0.7;0.773;0.6;2.4;3;1.2;0.6;0.1;0.4;0.9;4.4
79;Jalen Brunson;PG;25;DAL;45;27;31.2;6.4;12.8;0.502;1;3;0.331;5.4;9.8;0.553;0.54;2.1;2.6;0.79;0.6;3.3;3.8;5.5;1;0;1.7;1.9;15.9
80;Thomas Bryant;C;24;WAS;5;0;13;2.6;5.4;0.481;0.4;1.8;0.222;2.2;3.6;0.611;0.519;0.8;1.6;0.5;1.2;1.8;3;0.6;0;0.4;0.2;1.4;6.4
81;Shaq Buchanan;PG;25;MEM;2;0;5;0.5;2;0.25;0;1;0;0.5;1;0.5;0.25;0;0;0;0.5;0.5;1;1;0.5;0;1;0.5;1
82;Reggie Bullock;SF;30;DAL;38;13;23.6;2.2;5.9;0.379;1.4;4.4;0.32;0.8;1.4;0.564;0.5;0.4;0.5;0.737;0.4;2.7;3.1;1.2;0.4;0.1;0.5;1.3;6.3
83;Trey Burke;PG;29;DAL;22;0;12.2;2.5;6.1;0.418;0.8;2.4;0.327;1.8;3.7;0.476;0.481;0.7;0.8;0.941;0.1;1;1;1.9;0.4;0;0.7;1;6.6
84;Alec Burks;SG;30;NYK;45;19;27.5;3.5;9;0.385;1.9;4.7;0.398;1.6;4.3;0.371;0.489;2.7;3.2;0.836;0.6;3.8;4.4;2.5;1.2;0.2;0.9;2.3;11.5
85;Jared Butler;SG;21;UTA;20;1;5.7;0.9;2.6;0.346;0.5;1.5;0.333;0.4;1.1;0.364;0.442;0.3;0.5;0.667;0.1;0.7;0.8;0.7;0.2;0.3;0.8;1;2.6
86;Jimmy Butler;SF;32;MIA;28;28;33.3;7.1;14.9;0.481;0.4;1.8;0.24;6.7;13.1;0.514;0.495;6.7;7.6;0.879;1.8;4;5.9;5.9;1.9;0.4;2;1.3;21.4
87;Devontae Cacok;PF;25;SAS;7;0;8.3;2;3;0.667;0;0;0;2;3;0.667;0.667;0;0;0;0.7;2.3;3;0.3;0.6;0.7;0.1;1.1;4
88;Kentavious Caldwell-Pope;SG;28;WAS;43;43;29.7;4.1;10;0.415;2.1;5.5;0.377;2.1;4.5;0.461;0.519;1.2;1.3;0.877;0.5;3.2;3.7;1.8;1.1;0.4;1.4;1.8;11.5
89;Facundo Campazzo;PG;30;DEN;43;4;21.8;2.1;5.6;0.376;1.1;3.6;0.31;1;2;0.494;0.475;1.1;1.3;0.81;0.4;1.8;2.1;4;1.1;0.4;1.2;2.3;6.4
90;Vlatko ?an?ar;PF;24;DEN;14;1;10.9;1.6;2.8;0.564;0.5;0.9;0.583;1.1;1.9;0.556;0.654;0.6;0.9;0.75;0.4;1.2;1.6;0.9;0.1;0.2;0.6;0.9;4.3
91;Clint Capela;C;27;ATL;37;36;29.6;5.2;9.1;0.573;0;0;0;5.2;9.1;0.574;0.573;1.2;2.6;0.464;4.1;8.8;12.9;1.5;0.8;1.5;0.6;2.4;11.6
92;Vernon Carey Jr.;C;20;CHO;3;1;4.7;1;2;0.5;0;0;0;1;2;0.5;0.5;0.7;1;0.667;0.7;0.3;1;0;0.3;0;0.3;0.3;2.7
93;Jevon Carter;PG;26;BRK;34;1;11.6;1;3.3;0.301;0.7;2.4;0.284;0.3;0.9;0.344;0.403;0.1;0.1;0.75;0.2;1.2;1.4;0.9;0.4;0.2;0.4;1;2.8
94;Wendell Carter Jr.;C;22;ORL;38;37;29.1;5;10.1;0.492;1.3;3.8;0.336;3.7;6.3;0.585;0.555;2.1;2.9;0.716;2.1;8;10.1;2.7;0.7;0.7;1.6;2.7;13.3
95;Alex Caruso;SG;27;CHI;28;9;27.7;2.8;6.5;0.429;1.1;3.1;0.345;1.7;3.4;0.505;0.511;1.7;2.1;0.814;0.9;3;3.9;3.9;1.9;0.4;1.4;2.4;8.4
96;Willie Cauley-Stein;C;28;DAL;18;2;9.8;0.9;1.9;0.457;0.1;0.1;0.5;0.8;1.8;0.455;0.471;0.1;0.1;0.5;0.7;1.4;2.1;0.5;0.3;0.2;0.4;0.9;1.9
97;Ahmad Caver;PG;25;IND;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
98;Justin Champagnie;SF;20;TOR;26;0;8.9;1;2.2;0.456;0.3;0.8;0.35;0.7;1.4;0.514;0.518;0.3;0.3;1;1.4;0.9;2.3;0.3;0.2;0.2;0.2;1.2;2.6
99;Zylan Cheatham;SF;26;UTA;1;0;5;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;Chris Chiozza;PG;26;GSW;23;1;10.7;0.7;2.5;0.281;0.6;1.6;0.351;0.1;0.9;0.15;0.395;0;0;1;0.3;0.8;1.2;1.7;0.3;0;0.9;1;2
101;Marquese Chriss;PF;24;DAL;13;0;11.3;2.6;4.3;0.607;0.5;1.1;0.429;2.2;3.2;0.667;0.661;0.8;1.2;0.625;0.8;2.9;3.7;0.3;0.2;0.3;0.8;2.5;6.5
102;Josh Christopher;SG;20;HOU;39;2;15.9;2.6;5.6;0.459;0.7;2.1;0.346;1.8;3.5;0.526;0.523;1;1.3;0.8;0.7;1.3;2;1.6;0.8;0.2;1.5;1.1;6.9
103;Gary Clark;PF;27;NOP;13;1;10.5;1.1;2.6;0.412;1;2.3;0.433;0.1;0.3;0.25;0.603;0.2;0.3;0.5;0.5;1.8;2.3;0.4;0.2;0.2;0.3;0.2;3.3
104;Brandon Clarke;PF;25;MEM;34;1;18.4;4.2;6.5;0.65;0.1;0.5;0.222;4.1;5.9;0.688;0.659;1.2;1.8;0.677;1.9;3.2;5.1;1.4;0.4;1.1;0.5;1.6;9.8
105;Jordan Clarkson;SG;29;UTA;45;0;26.1;5.6;13.9;0.402;2.5;7.9;0.321;3;6;0.507;0.493;1.6;2;0.809;0.7;2.8;3.5;2.2;0.7;0.3;1.6;1.8;15.3
106;Nic Claxton;C;22;BRK;20;14;22.2;4;6.1;0.656;0;0;0;4;6.1;0.656;0.656;1.2;2;0.615;1.9;3.6;5.5;1;0.6;1.2;0.8;2.5;9.2
107;Amir Coffey;SG;24;LAC;34;12;20.4;2.3;5;0.456;1.2;3.2;0.389;1.1;1.9;0.571;0.579;1.3;1.5;0.88;0.4;2.6;3;1.6;0.5;0.2;0.4;1.2;7.1
108;John Collins;PF;24;ATL;40;40;32.2;6.5;12;0.536;1.4;3.2;0.43;5.1;8.8;0.575;0.594;2.9;3.7;0.795;1.9;6.1;8;2;0.7;1.1;1.2;3.2;17.2
109;Darren Collison;PG;34;LAL;3;0;12.3;0.7;2.3;0.286;0;1;0;0.7;1.3;0.5;0.286;0;0;0;0;1.3;1.3;0.7;0.3;0;0.3;1.7;1.3
110;Mike Conley;PG;34;UTA;41;41;28.5;4.9;10.7;0.46;2.4;5.8;0.42;2.5;4.9;0.507;0.574;1.8;2.2;0.824;0.6;2.4;3;5.2;1.1;0.3;1.5;1.7;14.1
111;Pat Connaughton;SG;29;MIL;45;15;27.6;3.7;7.9;0.472;2.3;5.7;0.401;1.4;2.2;0.657;0.617;0.7;0.8;0.811;0.7;3.8;4.5;1.4;0.9;0.3;0.6;1.3;10.4
112;Tyler Cook;PF;24;CHI;10;1;11.9;1.5;2.3;0.652;0;0;0;1.5;2.3;0.652;0.652;1.4;1.6;0.875;0.7;2.1;2.8;0.3;0.4;0.2;0.5;1.9;4.4
113;Sharife Cooper;PG;20;ATL;10;0;3.5;0.3;1.4;0.214;0.1;0.6;0.167;0.2;0.8;0.25;0.25;0;0;0;0;0.5;0.5;0.5;0;0;0.5;0.1;0.7
114;Petr Cornelie;PF;26;DEN;13;0;2.9;0.4;1.2;0.333;0.1;0.6;0.125;0.3;0.5;0.571;0.367;0.2;0.3;0.75;0.5;0.5;1.1;0.2;0.1;0.1;0.3;0.5;1.1
